id,name,rarity,prompt
47,Sanctify Protocol,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Sanctify Protocol, a uncommon-tier card from the ADA ARCANA universe. Depict spell  cast sanctify protocol to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Sanctify Protocol. Replace the rarity box with Uncommon. Write the description Spell  Cast Sanctify Protocol to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
48,Overclock,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Overclock, a common-tier card from the ADA ARCANA universe. Depict spell  cast overclock to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Overclock. Replace the rarity box with Common. Write the description Spell  Cast Overclock to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
49,Whale Horn,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Whale Horn, a uncommon-tier card from the ADA ARCANA universe. Depict relic  while whale horn remains, your resource gain is amplified. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Whale Horn. Replace the rarity box with Uncommon. Write the description Relic  While Whale Horn remains, your resource gain is amplified. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
50,Stake Surge,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Stake Surge, a common-tier card from the ADA ARCANA universe. Depict spell  cast stake surge to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Stake Surge. Replace the rarity box with Common. Write the description Spell  Cast Stake Surge to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
51,Rally the Bison,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Rally the Bison, a uncommon-tier card from the ADA ARCANA universe. Depict spell  cast rally the bison to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Rally the Bison. Replace the rarity box with Uncommon. Write the description Spell  Cast Rally the Bison to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
52,Glove of Forging,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Glove of Forging, a common-tier card from the ADA ARCANA universe. Depict relic  while glove of forging remains, your resource gain is amplified. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Glove of Forging. Replace the rarity box with Common. Write the description Relic  While Glove of Forging remains, your resource gain is amplified. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
53,Echo Recompile,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Echo Recompile, a uncommon-tier card from the ADA ARCANA universe. Depict spell  cast echo recompile to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Echo Recompile. Replace the rarity box with Uncommon. Write the description Spell  Cast Echo Recompile to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
54,Oracle Ping,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Oracle Ping, a common-tier card from the ADA ARCANA universe. Depict spell  cast oracle ping to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Oracle Ping. Replace the rarity box with Common. Write the description Spell  Cast Oracle Ping to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
55,Citadel Foundry,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Citadel Foundry, a uncommon-tier card from the ADA ARCANA universe. Depict building  citadel foundry produces resources each turn and strengthens nearby units. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Citadel Foundry. Replace the rarity box with Uncommon. Write the description Building  Citadel Foundry produces resources each turn and strengthens nearby units. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
56,Aether Compass,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Aether Compass, a common-tier card from the ADA ARCANA universe. Depict relic  while aether compass remains, your resource gain is amplified. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Aether Compass. Replace the rarity box with Common. Write the description Relic  While Aether Compass remains, your resource gain is amplified. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
57,Defense Turret,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Defense Turret, a uncommon-tier card from the ADA ARCANA universe. Depict building  defense turret produces resources each turn and strengthens nearby units. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Defense Turret. Replace the rarity box with Uncommon. Write the description Building  Defense Turret produces resources each turn and strengthens nearby units. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
58,Aether Knight,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Aether Knight, a rare-tier card from the ADA ARCANA universe. Depict unit  aether knight enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Aether Knight. Replace the rarity box with Rare. Write the description Unit  Aether Knight enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
59,Shardstorm,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Shardstorm, a common-tier card from the ADA ARCANA universe. Depict spell  cast shardstorm to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Shardstorm. Replace the rarity box with Common. Write the description Spell  Cast Shardstorm to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
60,Chain Locket,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Chain Locket, a uncommon-tier card from the ADA ARCANA universe. Depict relic  while chain locket remains, your resource gain is amplified. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Chain Locket. Replace the rarity box with Uncommon. Write the description Relic  While Chain Locket remains, your resource gain is amplified. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
61,Vault Key,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Vault Key, a rare-tier card from the ADA ARCANA universe. Depict relic  while vault key remains, your resource gain is amplified. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Vault Key. Replace the rarity box with Rare. Write the description Relic  While Vault Key remains, your resource gain is amplified. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
62,Prism Shift,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Prism Shift, a common-tier card from the ADA ARCANA universe. Depict spell  cast prism shift to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Prism Shift. Replace the rarity box with Common. Write the description Spell  Cast Prism Shift to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
63,Sigil Resonance,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Sigil Resonance, a uncommon-tier card from the ADA ARCANA universe. Depict spell  cast sigil resonance to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Sigil Resonance. Replace the rarity box with Uncommon. Write the description Spell  Cast Sigil Resonance to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
64,Credit Windfall,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Credit Windfall, a rare-tier card from the ADA ARCANA universe. Depict spell  cast credit windfall to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Credit Windfall. Replace the rarity box with Rare. Write the description Spell  Cast Credit Windfall to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
65,Orbital Relay,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Orbital Relay, a common-tier card from the ADA ARCANA universe. Depict building  orbital relay produces resources each turn and strengthens nearby units. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Orbital Relay. Replace the rarity box with Common. Write the description Building  Orbital Relay produces resources each turn and strengthens nearby units. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
66,Backtrace,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Backtrace, a uncommon-tier card from the ADA ARCANA universe. Depict spell  cast backtrace to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Backtrace. Replace the rarity box with Uncommon. Write the description Spell  Cast Backtrace to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
67,Hydra Spire,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Hydra Spire, a rare-tier card from the ADA ARCANA universe. Depict building  hydra spire produces resources each turn and strengthens nearby units. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Hydra Spire. Replace the rarity box with Rare. Write the description Building  Hydra Spire produces resources each turn and strengthens nearby units. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
68,Arc Forge Sentry,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Arc Forge Sentry, a common-tier card from the ADA ARCANA universe. Depict unit  arc forge sentry enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Arc Forge Sentry. Replace the rarity box with Common. Write the description Unit  Arc Forge Sentry enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
69,Quantum Gamble,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Quantum Gamble, a uncommon-tier card from the ADA ARCANA universe. Depict spell  cast quantum gamble to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Quantum Gamble. Replace the rarity box with Uncommon. Write the description Spell  Cast Quantum Gamble to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
70,Data Siphon,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Data Siphon, a rare-tier card from the ADA ARCANA universe. Depict unit  data siphon enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Data Siphon. Replace the rarity box with Rare. Write the description Unit  Data Siphon enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
71,Chain Sever,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Chain Sever, a common-tier card from the ADA ARCANA universe. Depict spell  cast chain sever to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Chain Sever. Replace the rarity box with Common. Write the description Spell  Cast Chain Sever to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
72,Arcane Fork,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Arcane Fork, a uncommon-tier card from the ADA ARCANA universe. Depict spell  cast arcane fork to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Arcane Fork. Replace the rarity box with Uncommon. Write the description Spell  Cast Arcane Fork to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
73,Golem Engineer,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Golem Engineer, a rare-tier card from the ADA ARCANA universe. Depict unit  golem engineer enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Golem Engineer. Replace the rarity box with Rare. Write the description Unit  Golem Engineer enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
74,Vortex Prism,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Vortex Prism, a common-tier card from the ADA ARCANA universe. Depict relic  while vortex prism remains, your resource gain is amplified. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Vortex Prism. Replace the rarity box with Common. Write the description Relic  While Vortex Prism remains, your resource gain is amplified. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
75,Citadel Map,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Citadel Map, a uncommon-tier card from the ADA ARCANA universe. Depict relic  while citadel map remains, your resource gain is amplified. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Citadel Map. Replace the rarity box with Uncommon. Write the description Relic  While Citadel Map remains, your resource gain is amplified. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
76,Citadel Recall,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Citadel Recall, a rare-tier card from the ADA ARCANA universe. Depict spell  cast citadel recall to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Citadel Recall. Replace the rarity box with Rare. Write the description Spell  Cast Citadel Recall to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
77,Windcaller Ranger,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Windcaller Ranger, a common-tier card from the ADA ARCANA universe. Depict unit  windcaller ranger enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Windcaller Ranger. Replace the rarity box with Common. Write the description Unit  Windcaller Ranger enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
78,Time-Lock,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Time-Lock, a uncommon-tier card from the ADA ARCANA universe. Depict spell  cast time-lock to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Time-Lock. Replace the rarity box with Uncommon. Write the description Spell  Cast Time-Lock to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
79,Arc Reactor,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Arc Reactor, a rare-tier card from the ADA ARCANA universe. Depict relic  while arc reactor remains, your resource gain is amplified. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Arc Reactor. Replace the rarity box with Rare. Write the description Relic  While Arc Reactor remains, your resource gain is amplified. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
80,Gravity Well,Epic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Gravity Well, a epic-tier card from the ADA ARCANA universe. Depict spell  cast gravity well to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Gravity Well. Replace the rarity box with Epic. Write the description Spell  Cast Gravity Well to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
81,Obra Artillerist,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Obra Artillerist, a common-tier card from the ADA ARCANA universe. Depict unit  obra artillerist enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Obra Artillerist. Replace the rarity box with Common. Write the description Unit  Obra Artillerist enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
82,Chainbreaker Raider,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Chainbreaker Raider, a uncommon-tier card from the ADA ARCANA universe. Depict unit  chainbreaker raider enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Chainbreaker Raider. Replace the rarity box with Uncommon. Write the description Unit  Chainbreaker Raider enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
83,Airdrop Blessing,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Airdrop Blessing, a rare-tier card from the ADA ARCANA universe. Depict spell  cast airdrop blessing to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Airdrop Blessing. Replace the rarity box with Rare. Write the description Spell  Cast Airdrop Blessing to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
84,Spirit Drum,Epic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Spirit Drum, a epic-tier card from the ADA ARCANA universe. Depict relic  while spirit drum remains, your resource gain is amplified. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Spirit Drum. Replace the rarity box with Epic. Write the description Relic  While Spirit Drum remains, your resource gain is amplified. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
85,Lunar Vanguard,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Lunar Vanguard, a common-tier card from the ADA ARCANA universe. Depict unit  lunar vanguard enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Lunar Vanguard. Replace the rarity box with Common. Write the description Unit  Lunar Vanguard enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
86,Archive Restore,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Archive Restore, a uncommon-tier card from the ADA ARCANA universe. Depict spell  cast archive restore to trigger a one-time effect that shifts tempo. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Archive Restore. Replace the rarity box with Uncommon. Write the description Spell  Cast Archive Restore to trigger a one-time effect that shifts tempo. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
87,Ember Duelist,Rare,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Ember Duelist, a rare-tier card from the ADA ARCANA universe. Depict unit  ember duelist enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Ember Duelist. Replace the rarity box with Rare. Write the description Unit  Ember Duelist enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
88,Frost Ronin,Epic,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Frost Ronin, a epic-tier card from the ADA ARCANA universe. Depict unit  frost ronin enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Frost Ronin. Replace the rarity box with Epic. Write the description Unit  Frost Ronin enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
89,Shadow Archivist,Common,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Shadow Archivist, a common-tier card from the ADA ARCANA universe. Depict unit  shadow archivist enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Shadow Archivist. Replace the rarity box with Common. Write the description Unit  Shadow Archivist enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
90,Circuit Assassin,Uncommon,"Create a futuristic fantasy trading card using the ADA ARCANA frame template. Center the illustration of Circuit Assassin, a uncommon-tier card from the ADA ARCANA universe. Depict unit  circuit assassin enters with a tactical bonus when adjacent to a building. in a cyber-fantasy artstyle  blending glowing circuitry, digital runes, and mystical light. Replace the title text area with Circuit Assassin. Replace the rarity box with Uncommon. Write the description Unit  Circuit Assassin enters with a tactical bonus when adjacent to a Building. inside the bottom black text box using elegant futuristic calligraphy font with blue or violet glow. Make the artwork appear as a holographic projection inside the frame, with neon reflections and magical energy patterns. Art style sci-fantasy, digital painting, cinematic lighting, holographic glow, 57 aspect ratio."
